"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","42","PM2.5","West Johnston Co.","37-101-0002","AQS","6","33","7","42","24"
"01/02/2020","48","PM2.5","Millbrook School","37-183-0014","AQS","9","28","15","48","24"
"01/03/2020","45","PM2.5","Triple Oak","37-183-0021","AQS","6","17","13","45","18"
"01/04/2020","31","Ozone","Millbrook School","37-183-0014","AQS","6","31","6","13","14"
"01/05/2020","30","Ozone","Millbrook School","37-183-0014","AQS","5","30","6","21","24"
"01/06/2020","31","Ozone","Millbrook School","37-183-0014","AQS","8","31","9","26","31"
"01/07/2020","36","PM2.5","Millbrook School","37-183-0014","AQS","9","26","12","36","23"
"01/08/2020","32","Ozone","Millbrook School","37-183-0014","AQS","7","32","12","31","29"
"01/09/2020","31","PM2.5","Millbrook School","37-183-0014","AQS","9","28","10","31","18"
"01/10/2020","36","PM2.5","Triple Oak","37-183-0021","AQS","7","25","14","36","25"
"01/11/2020","33","PM2.5","Millbrook School","37-183-0014","AQS","5","30","16","33","7"
"01/12/2020","27","Ozone","Millbrook School","37-183-0014","AQS","5","27","8","21","10"
"01/13/2020","27","PM2.5","Triple Oak","37-183-0021","AQS","5","16","8","27","14"
"01/14/2020","21","PM2.5","Triple Oak","37-183-0021","AQS","6","19","9","21","15"
"01/15/2020","28","PM2.5","Millbrook School","37-183-0014","AQS","6","17","11","28","16"
"01/16/2020","34","Ozone","Millbrook School","37-183-0014","AQS","5","34","7","21","16"
"01/17/2020","31","Ozone","Millbrook School","37-183-0014","AQS","2","31","7","20","15"
"01/18/2020","26","Ozone","Millbrook School","37-183-0014","AQS","5","26","7","24","11"
"01/19/2020","34","Ozone","Millbrook School","37-183-0014","AQS","3","34","5","21","7"
"01/20/2020","31","Ozone","Millbrook School","37-183-0014","AQS","2","31","6","22","9"
"01/21/2020","37","Ozone","Millbrook School","37-183-0014","AQS","2","37","6","19","6"
"01/22/2020","34","Ozone","Millbrook School","37-183-0014","AQS","3","34","11","32","12"
"01/23/2020","37","PM2.5","Millbrook School","37-183-0014","AQS","3","29","13","37","12"
"01/24/2020","33","PM2.5","Millbrook School","37-183-0014","AQS","3","31","12","33","5"
"01/25/2020","30","Ozone","Millbrook School","37-183-0014","AQS","5","30","6","16","12"
"01/26/2020","31","Ozone","Millbrook School","37-183-0014","AQS","5","31","7","25","23"
"01/27/2020","42","PM2.5","Millbrook School","37-183-0014","AQS","8","24","14","42","22"
"01/28/2020","36","Ozone","Millbrook School","37-183-0014","AQS","5","36","6","23","25"
"01/29/2020","34","PM2.5","Millbrook School","37-183-0014","AQS","5","32","10","34","18"
"01/30/2020","37","PM2.5","Millbrook School","37-183-0014","AQS","2","34","11","37","9"
"01/31/2020","36","PM2.5","Millbrook School","37-183-0014","AQS","3","27","12","36","18"
"02/01/2020","36","PM2.5","Millbrook School","37-183-0014","AQS","5","27","10","36","13"
"02/02/2020","35","Ozone","Millbrook School","37-183-0014","AQS","6","35","7","23","12"
"02/03/2020","37","Ozone","Millbrook School","37-183-0014","AQS","6","37","12","26","26"
"02/04/2020","54","PM2.5","Millbrook School","37-183-0014","AQS","5","37","19","54","18"
"02/05/2020","49","PM2.5","Millbrook School","37-183-0014","AQS","6","30","16","49","16"
"02/06/2020","29","Ozone","Millbrook School","37-183-0014","AQS","5","29","10","28","18"
"02/07/2020","31","Ozone","Millbrook School","37-183-0014","AQS","3","31","4","8","8"
"02/08/2020","33","Ozone","Millbrook School","37-183-0014","AQS","3","33","9","23","22"
"02/09/2020","36","PM2.5","Millbrook School","37-183-0014","AQS","5","35","11","36","21"
"02/10/2020","42","PM2.5","Millbrook School","37-183-0014","AQS","6","32","16","42","22"
"02/11/2020","30","PM2.5","Millbrook School","37-183-0014","AQS","5","29","13","30","13"
"02/12/2020","27","Ozone","Millbrook School","37-183-0014","AQS","5","27","8","21","12"
"02/13/2020","27","PM2.5","Triple Oak","37-183-0021","AQS","5","25","13","27","18"
"02/14/2020","34","Ozone","Millbrook School","37-183-0014","AQS","2","34","6","17","8"
"02/15/2020","36","PM2.5","Millbrook School","37-183-0014","AQS","3","33","10","36","13"
"02/16/2020","57","PM2.5","Millbrook School","37-183-0014","AQS","5","34","18","57","18"
"02/17/2020","57","PM2.5","Millbrook School","37-183-0014","AQS","5","36","18","57","20"
"02/18/2020","55","PM2.5","Millbrook School","37-183-0014","AQS","6","24","19","55","23"
"02/19/2020","31","PM2.5","Millbrook School","37-183-0014","AQS","5","30","10","31","17"
"02/20/2020","28","Ozone","Millbrook School","37-183-0014","AQS","5","28","8","26","14"
"02/21/2020","37","Ozone","Millbrook School","37-183-0014","AQS","3","37","10","35","22"
"02/22/2020","54","PM2.5","Millbrook School","37-183-0014","AQS","6","35","18","54","27"
"02/23/2020","72","PM2.5","West Johnston Co.","37-101-0002","AQS","11","41","19","72","22"
"02/24/2020","52","PM2.5","Millbrook School","37-183-0014","AQS","5","27","18","52","25"
"02/25/2020","37","PM2.5","Millbrook School","37-183-0014","AQS","5","25","12","37","18"
"02/26/2020","36","PM2.5","Millbrook School","37-183-0014","AQS","5","31","11","36","17"
"02/27/2020","37","Ozone","Millbrook School","37-183-0014","AQS","3","37","6","12","17"
"02/28/2020","37","Ozone","Millbrook School","37-183-0014","AQS","5","37","9","25","27"
"02/29/2020","37","Ozone","Millbrook School","37-183-0014","AQS","5","37","7","24","17"
"03/01/2020","44","Ozone","West Johnston Co.","37-101-0002","AQS","5","44","10","33","22"
"03/02/2020","49","PM2.5","Triple Oak","37-183-0021","AQS","5","49","16","49","23"
"03/03/2020","38","PM2.5","Millbrook School","37-183-0014","AQS","5","35","12","38","15"
"03/04/2020","34","Ozone","Millbrook School","37-183-0014","AQS","5","34","9","21","16"
"03/05/2020","32","PM2.5","Millbrook School","37-183-0014","AQS","3","29","12","32","15"
"03/06/2020","39","Ozone","West Johnston Co.","37-101-0002","AQS","5","39","10","33","15"
"03/07/2020","39","Ozone","West Johnston Co.","37-101-0002","AQS","3","39","6","16","21"
"03/08/2020","43","Ozone","West Johnston Co.","37-101-0002","AQS","5","43","10","35","17"
"03/09/2020","43","Ozone","West Johnston Co.","37-101-0002","AQS","5","43","14","35","24"
"03/10/2020","36","Ozone","West Johnston Co.","37-101-0002","AQS","5","36","14","31","14"
"03/11/2020","45","PM2.5","Millbrook School","37-183-0014","AQS","5","40","17","45","21"
"03/12/2020","62","PM2.5","Millbrook School","37-183-0014","AQS","5","36","22","62","16"
